diffNuisances run on /data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/limit_outputs/alpha/blind/Run2Run3/fitDiagnostics.FitDiag_Run2Run3_alpha_M45.root, at 2026-08-26 02:18:23.819917 with the following options ... {'vtol': 0.3, 'stol': 0.1, 'vtol2': 2.0, 'stol2': 0.5, 'show_all_parameters': True, 'absolute_values': True, 'poi': 'r', 'format': 'text', 'plotfile': 'pulls_Run2Run3_alpha_M45.root', 'pullDef': '', 'skipFitS': False, 'skipFitB': False, 'sortBy': 'correlation', 'regex': '.*'}

name                                                 pre fit                        b-only fit                           s+b fit         rho  approx impact
r                                            [-2.00, 100.00]                              n/a                   -0.00 +2.08 2.65       +1.00      +7.047
CMS_eff_m_trigger_2023BPix                   0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.00      -0.009
CMS_eff_m_trigger_2023                       0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.00      -0.006
CMS_eff_m_trigger_2022                       0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.00      -0.010
CMS_eff_m_trigger_2018                       0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.00      -0.001
CMS_eff_m_trigger_2017                       0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.00      -0.007
CMS_eff_m_id_2023BPix                        0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.00      -0.010
CMS_eff_m_id_2023                            0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.00      -0.004
CMS_eff_m_id_2022EE                          0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.00      -0.012
CMS_eff_m_id_2022                            0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.00      -0.008
CMS_eff_m_id_2018                            0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.00      -0.000
CMS_eff_m_id_2017                            0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.00      -0.002
CMS_btag_fixedWP_light_uncorrelated_2023BPix     0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.00      -0.005
CMS_btag_fixedWP_light_uncorrelated_2023     0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.00      -0.002
CMS_btag_fixedWP_light_uncorrelated_2022     0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.00      -0.005
CMS_btag_fixedWP_light_uncorrelated_2018     0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.00      -0.001
CMS_btag_fixedWP_light_uncorrelated_2017     0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.00      -0.008
CMS_btag_fixedWP_light_uncorrelated_2016preVFP     0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.00      -0.003
CMS_btag_fixedWP_light_uncorrelated_2016postVFP     0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.00      -0.001
CMS_btag_fixedWP_bc_uncorrelated_2018        0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.00      -0.005
CMS_btag_fixedWP_bc_uncorrelated_2016postVFP     0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.00      -0.005
CMS_NPS26009_scale_m_2016preVFP              0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       +0.00      +0.004
CMS_NPS26009_scale_m_2016postVFP             0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       +0.00      +0.001
CMS_NPS26009_lumi_2018                       0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.00      -0.007
CMS_NPS26009_l1_ecal_prefiring_2016preVFP     0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       +0.00      +0.012
CMS_NPS26009_l1_ecal_prefiring_2016postVFP     0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       +0.00      +0.002
CMS_NPS26009_eff_m_trigger_2016preVFP        0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.00      -0.007
CMS_NPS26009_eff_m_trigger_2016postVFP       0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.00      -0.001
CMS_NPS26009_eff_m_id_2016preVFP             0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.00      -0.002
CMS_NPS26009_eff_m_id_2016postVFP            0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.00      -0.000
CMS_NPS26009_bckgShape_QCD_BJetOS_2023BPix     0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.00      -0.000
CMS_NPS26009_bckgShape_QCD_BJetOS_2023       0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.00      -0.000
CMS_NPS26009_bckgShape_QCD_BJetOS_2022EE     0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.00      -0.000
CMS_NPS26009_bckgShape_QCD_BJetOS_2022       0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.00      -0.000
CMS_NPS26009_bckgShape_QCD_BJetOS_2018       0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.00      -0.000
CMS_NPS26009_bckgShape_QCD_BJetOS_2017       0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.00      -0.001
